Step,Temp,PotEng,TotEng,v_tipxx,v_tipxy,v_tipxz,v_tipfx,v_tipfy,v_tipfz
163000,297.68125,-18563.352,-18419.328,26.080669,32.091532,34.392808,3.20E-15,5.07E-15,-2.31E-14
164000,292.02313,-18565.474,-18424.187,26.080669,32.091532,34.382808,-1.07E-15,7.91E-15,1.78E-15
165000,292.32959,-18562.732,-18421.297,26.080669,32.091532,34.372808,-1.07E-15,7.91E-15,1.78E-15
166000,294.76039,-18563.782,-18421.171,26.080669,32.091532,34.362808,-2.85E-15,-7.03E-15,-2.77E-14
167000,304.59945,-18563.784,-18416.412,26.080669,32.091532,34.352808,3.20E-15,-6.23E-16,-1.17E-14
168000,293.7395,-18564.649,-18422.531,26.080669,32.091532,34.342808,-1.07E-15,7.91E-15,1.78E-15
169000,297.43296,-18563.458,-18419.554,26.080669,32.091532,34.332808,1.78E-15,-3.47E-15,-2.38E-14
170000,302.37507,-18564.356,-18418.061,26.080669,32.091532,34.322808,3.20E-15,5.07E-15,-2.31E-14
171000,296.31705,-18566.311,-18422.947,26.080669,32.091532,34.312808,-1.07E-15,7.91E-15,1.78E-15
172000,299.41897,-18564.181,-18419.316,26.080669,32.091532,34.302808,-1.07E-15,7.91E-15,1.78E-15
173000,293.00507,-18562.524,-18420.762,26.080669,32.091532,34.292808,1.78E-15,-3.47E-15,-2.38E-14
174000,293.34219,-18565.011,-18423.086,26.080669,32.091532,34.282808,3.20E-15,5.07E-15,-2.31E-14
175000,298.1814,-18563.557,-18419.29,26.080669,32.091532,34.272808,-1.07E-15,7.91E-15,1.78E-15
176000,299.55453,-18565.756,-18420.826,26.080669,32.091532,34.262808,1.78E-15,-3.47E-15,-2.38E-14
177000,298.62256,-18563.532,-18419.052,26.080669,32.091532,34.252808,3.20E-15,5.07E-15,-2.31E-14
178000,295.32569,-18565.618,-18422.733,26.080669,32.091532,34.242808,-1.07E-15,7.91E-15,1.78E-15
179000,299.13265,-18564.638,-18419.911,26.080669,32.091532,34.232808,-1.07E-15,7.91E-15,1.78E-15
180000,287.41421,-18560.721,-18421.664,26.080669,32.091532,34.222808,1.78E-15,-3.47E-15,-2.38E-14
181000,295.59637,-18560.15,-18417.135,26.080669,32.091532,34.212808,3.20E-15,5.07E-15,-2.31E-14
182000,292.82048,-18565.379,-18423.706,26.080669,32.091532,34.202808,-1.07E-15,7.91E-15,1.78E-15
183000,297.31718,-18565.178,-18421.329,26.080669,32.091532,34.192808,-1.07E-15,5.07E-15,-2.95E-14
184000,291.30492,-18564.118,-18423.179,26.080669,32.091532,34.182808,3.20E-15,5.07E-15,-2.31E-14
185000,298.46029,-18561.274,-18416.872,26.080669,32.091532,34.172808,-1.07E-15,7.91E-15,1.78E-15
186000,291.26318,-18563.697,-18422.777,26.080669,32.091532,34.162808,-1.07E-15,7.91E-15,1.78E-15
187000,299.61887,-18561.109,-18416.147,26.080669,32.091532,34.152808,1.78E-15,-3.47E-15,-2.38E-14
188000,297.24836,-18565.243,-18421.428,26.080669,32.091532,34.142808,3.20E-15,5.07E-15,-2.31E-14
189000,293.35992,-18562.292,-18420.358,26.080669,32.091532,34.132808,-1.07E-15,7.91E-15,1.78E-15
190000,303.56045,-18562.932,-18416.063,26.080669,32.091532,34.122808,-1.07E-15,7.91E-15,1.78E-15
191000,291.77732,-18563.984,-18422.816,26.080669,32.091532,34.112808,-2.85E-15,-7.03E-15,-2.77E-14
192000,296.43334,-18566.44,-18423.02,26.080669,32.091532,34.102808,3.20E-15,-6.23E-16,-1.17E-14
193000,296.48632,-18561.535,-18418.088,26.080669,32.091532,34.092808,-1.07E-15,7.91E-15,1.78E-15
194000,300.64614,-18563.911,-18418.452,26.080669,32.091532,34.082808,1.78E-15,-3.47E-15,-2.38E-14
195000,302.30094,-18563.671,-18417.411,26.080669,32.091532,34.072808,5.34E-16,7.60E-15,1.21E-14
196000,295.40668,-18560.514,-18417.59,26.080669,32.091532,34.062808,-1.07E-15,7.91E-15,1.78E-15
197000,297.16923,-18563.01,-18419.233,26.080669,32.091532,34.052808,-1.07E-15,7.91E-15,1.78E-15
198000,301.31457,-18567.979,-18422.197,26.080669,32.091532,34.042808,7.11E-16,6.45E-15,-1.42E-15
199000,293.33539,-18562.253,-18420.331,26.080669,32.091532,34.032808,5.34E-16,7.60E-15,1.21E-14
200000,300.65307,-18563.558,-18418.096,26.080669,32.091532,34.022808,1.78E-15,-6.23E-16,1.78E-15
201000,303.29939,-18564.196,-18417.454,26.080669,32.091532,34.012808,7.11E-16,6.45E-15,-1.42E-15
202000,298.33674,-18561.31,-18416.968,26.080669,32.091532,34.002808,1.96E-15,-3.78E-15,7.11E-16
203000,300.08175,-18566.09,-18420.904,26.080669,32.091532,33.992808,1.78E-15,-6.23E-16,1.78E-15
204000,301.41236,-18561.976,-18416.146,26.080669,32.091532,33.982808,1.78E-15,-6.23E-16,1.78E-15
205000,294.91665,-18561.668,-18418.981,26.080669,32.091532,33.972808,7.11E-16,6.45E-15,-1.42E-15
206000,303.09101,-18563.889,-18417.247,26.080669,32.091532,33.962808,1.96E-15,-3.78E-15,7.11E-16
207000,296.95,-18561.313,-18417.642,26.080669,32.091532,33.952808,1.78E-15,-6.23E-16,1.78E-15
208000,297.93683,-18563.692,-18419.544,26.080669,32.091532,33.942808,1.78E-15,-6.23E-16,-1.81E-14
209000,301.85716,-18564.066,-18418.021,26.080669,32.091532,33.932808,-3.91E-15,2.13E-15,-8.89E-15
210000,305.56944,-18563.976,-18416.136,26.080669,32.091532,33.922808,1.78E-15,-6.23E-16,1.78E-15
211000,299.59266,-18564.172,-18419.223,26.080669,32.091532,33.912808,1.78E-15,-6.23E-16,1.78E-15
212000,303.29043,-18563.523,-18416.785,26.080669,32.091532,33.902808,7.11E-16,6.45E-15,-1.42E-15
213000,293.798,-18562.486,-18420.34,26.080669,32.091532,33.892808,1.96E-15,-3.78E-15,7.11E-16
214000,299.88424,-18562.625,-18417.535,26.080669,32.091532,33.882808,1.78E-15,-6.23E-16,1.78E-15
215000,296.35647,-18564.13,-18420.746,26.080669,32.091532,33.872808,1.78E-15,-6.23E-16,1.78E-15
216000,297.26508,-18564.115,-18420.292,26.080669,32.091532,33.862808,3.56E-16,1.65E-15,1.03E-14
217000,304.65924,-18563.809,-18416.409,26.080669,32.091532,33.852808,3.20E-15,2.22E-15,-6.05E-15
218000,299.49965,-18562.172,-18417.268,26.080669,32.091532,33.842808,1.78E-15,-6.23E-16,1.78E-15
219000,296.66392,-18564.306,-18420.773,26.080669,32.091532,33.832808,7.11E-16,6.45E-15,-1.42E-15
220000,293.68868,-18563.68,-18421.587,26.080669,32.091532,33.822808,1.96E-15,-3.78E-15,7.11E-16
221000,300.4455,-18564.314,-18418.952,26.080669,32.091532,33.812808,1.78E-15,-6.23E-16,1.78E-15
222000,297.75755,-18566.249,-18422.188,26.080669,32.091532,33.802808,1.78E-15,-6.23E-16,1.78E-15
223000,302.46975,-18562.694,-18416.353,26.080669,32.091532,33.792808,7.11E-16,6.45E-15,-1.42E-15
224000,297.74738,-18565.62,-18421.563,26.080669,32.091532,33.782808,3.20E-15,2.22E-15,-6.05E-15
225000,302.15492,-18562.658,-18416.47,26.080669,32.091532,33.772808,1.78E-15,-6.23E-16,1.78E-15
226000,290.82773,-18562.934,-18422.226,26.080669,32.091532,33.762808,7.11E-16,6.45E-15,-1.42E-15
227000,300.80142,-18562.728,-18417.194,26.080669,32.091532,33.752808,1.96E-15,-3.78E-15,7.11E-16
228000,295.58648,-18560.834,-18417.823,26.080669,32.091532,33.742808,1.78E-15,-6.23E-16,1.78E-15
229000,292.49167,-18562.882,-18421.369,26.080669,32.091532,33.732808,1.78E-15,-6.23E-16,1.78E-15
230000,295.00072,-18559.801,-18417.074,26.080669,32.091532,33.722808,7.11E-16,6.45E-15,-1.42E-15
231000,293.42293,-18562.083,-18420.119,26.080669,32.091532,33.712808,1.96E-15,-3.78E-15,7.11E-16
232000,292.98296,-18563.84,-18422.089,26.080669,32.091532,33.702808,1.78E-15,-6.23E-16,1.78E-15
233000,294.26328,-18563.055,-18420.684,26.080669,32.091532,33.692808,1.78E-15,-6.23E-16,-1.81E-14
234000,300.5024,-18562.326,-18416.937,26.080669,32.091532,33.682808,-3.91E-15,2.13E-15,-8.89E-15
235000,298.01946,-18564.444,-18420.256,26.080669,32.091532,33.672808,1.78E-15,-6.23E-16,1.78E-15
236000,297.78277,-18563.259,-18419.185,26.080669,32.091532,33.662808,1.78E-15,-6.23E-16,1.78E-15
237000,293.09712,-18564.041,-18422.235,26.080669,32.091532,33.652808,7.11E-16,6.45E-15,-1.42E-15
238000,300.27908,-18562.794,-18417.512,26.080669,32.091532,33.642808,1.96E-15,-3.78E-15,7.11E-16
239000,289.61,-18562.598,-18422.479,26.080669,32.091532,33.632808,1.78E-15,-6.23E-16,1.78E-15
240000,304.32747,-18562.409,-18415.169,26.080669,32.091532,33.622808,1.78E-15,-6.23E-16,1.78E-15
